Initial MA decile,Median ln MA,High Income,Lower Middle Income,Upper Middle Income,Total pop.,Median pop.,Pop. %CAGR 2005-15,Pop. %CAGR 2015-30,Total GDP,Median GDP per capita,% capitals,% ports,% of pop. in border cities
"(29.485, 29.72]",29.63,,Dhaka-Rupganj,Tehran-Eslamshahr-Qods,136680043,547087,2.72,2.44,364395903596,1651,9.9,3.3,16.2
"(29.72, 29.746]",29.73,,Delhi,Baku,114281190,579629,2.71,2.42,237157068582,1758,3.3,0.0,2.7
"(29.746, 29.777]",29.76,,Mumbai (Bombay),Krung Thep (Bangkok)-Samut Prakan-Nonthaburi-Pathum Thani,145691646,584273,2.58,2.34,362288706648,1758,0.0,1.1,1.0
"(29.777, 29.836]",29.81,Athínai (Athens),Chennai (Madras),Kuala Lumpur,93319000,564789,1.8,1.54,951488684763,11325,12.1,4.4,2.2
"(29.836, 29.856]",29.85,Stockholm,Kharkiv,Istanbul,92740306,560732,1.81,1.23,1043523137142,6496,7.7,1.1,3.9
"(29.856, 29.869]",29.86,Lisboa (Lisbon),Kyiv (Kiev),Chongqing,111794239,619346,2.74,2.07,936101082563,6496,5.6,4.4,0.6
"(29.869, 29.874]",29.87,Warszawa (Warsaw),,Beijing,109946691,575629,2.72,1.89,827906971455,6496,3.3,5.5,0.8
"(29.874, 29.879]",29.88,Budapest,,Shenyang,100717163,732087,2.98,2.28,723185520532,6496,4.4,2.2,2.5
"(29.879, 29.888]",29.88,Madrid,,"Guangzhou, Guangdong-Foshan",161680005,892486,2.94,2.0,1760277575236,6496,5.5,5.5,0.8
"(29.888, 29.908]",29.9,Paris,,Shanghai,148824567,637595,1.41,1.12,4817810193483,41642,9.9,12.1,16.2
